Program Version:,EnergyPlus, Version 23.2.0-7636e6b3e9, YMD=2024.02.20 23:20
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,GREEN STUDIO (01-01:31-12) ** Tampa International Ap FL USA TMY3 WMO#=722110

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over         0.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,0.00,0.00,0.00
,Net Site Energy,0.00,0.00,0.00
,Total Source Energy,0.00,0.00,0.00
,Net Source Energy,0.00,0.00,0.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,10200.00
,Net Conditioned Building Area,9946.10
,Unconditioned Building Area,253.90


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating Water [kWh],District Heating Steam [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating Water [kWh],District Heating Steam [kWh],Water [m3]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#Basement2:B1XServerRoom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XCore#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XCorridor#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XEquipmentRoom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XGym#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XShop#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#Basement2:B1XCanteen#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXexhibition:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXreception:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXAcceeoryRoom:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXhall:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXLectureHall:Zone2#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXlectureXrestRoom:RestRoom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXlectureXrestRoom:Lecture#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXAccessoryRoom:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXoffice:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1FXserviceRoom:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2FXlab:Zone1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
